y,0,5,10,15,20,25,30,35,40,45
173,0.012309467,0.012278384,0.012184507,0.01202598,0.011799812,0.011502037,0.011127956,0.010672472,0.010130522,0.009497606
174,0.012138138,0.012107376,0.012014478,0.011857631,0.011633914,0.01133946,0.010969686,0.010519629,0.009984363,0.009359528
175,0.011969826,0.011939383,0.011847452,0.011692264,0.011470969,0.011179792,0.010814266,0.010369556,0.009840874,0.009223991
176,0.01180447,0.01177434,0.011683365,0.011529818,0.011310914,0.011022971,0.010661634,0.010222195,0.009699997,0.009090938
177,0.011642006,0.011612187,0.011522158,0.011370231,0.011153689,0.010868938,0.010511733,0.010077487,0.009561675,0.008960317
178,0.011482376,0.011452864,0.011363769,0.011213443,0.010999233,0.010717634,0.010364504,0.009935377,0.009425854,0.008832075
179,0.01132552,0.011296311,0.01120814,0.011059396,0.01084749,0.010569,0.01021989,0.00979581,0.00929248,0.008706161
180,0.011171381,0.011142472,0.011055214,0.010908034,0.010698403,0.010422983,0.010077837,0.00965873,0.009161501,0.008582525
181,0.011019903,0.010991292,0.010904936,0.0107593,0.010551916,0.010279525,0.009938291,0.009524086,0.009032867,0.008461118
182,0.010871032,0.010842714,0.01075725,0.010613141,0.010407976,0.010138576,0.009801199,0.009391827,0.008906527,0.008341893
183,0.010724715,0.010696686,0.010612104,0.010469503,0.01026653,0.010000082,0.00966651,0.009261901,0.008782433,0.008224803
184,0.010580899,0.010553157,0.010469446,0.010328335,0.010127527,0.009863992,0.009534174,0.009134261,0.008660537,0.008109804
185,0.010439533,0.010412074,0.010329225,0.010189587,0.009990916,0.009730257,0.009404142,0.009008859,0.008540794,0.00799685
186,0.010300568,0.010273389,0.010191391,0.010053208,0.009856649,0.009598829,0.009276367,0.008885648,0.008423159,0.007885898
187,0.010163955,0.010137053,0.010055897,0.009919151,0.009724677,0.00946966,0.009150802,0.008764582,0.008307586,0.007776907
188,0.010029646,0.010003019,0.009922694,0.009787369,0.009594955,0.009342704,0.009027401,0.008645617,0.008194034,0.007669835
189,0.009897597,0.00987124,0.009791737,0.009657816,0.009467435,0.009217915,0.00890612,0.00852871,0.00808246,0.007564643
